method,seed,relearn_corpus,threshold_quantile,path,r0,survival0,h50,h50_censored,auc_survival,r_final,relearn_growth,survival_decay,conditional_resurrection_final,conditional_survival_final,conditional_auc_survival,conditional_num_items,mean_target_margin_final,median_target_margin_final,mean_target_margin_growth_final,conditional_mean_target_margin_growth_final,retain_accuracy_final,retain_nll_final,refusal_rate_final
npo_strong_matched_seed1_st600_fw1_b0p3,1,heldout_forget_declarative,q95,runs/survival/heldout_stress/strong_npo/seed1_st600_fw1_b0p3_heldout_forget_declarative/survival_curve.csv,0.0,1.0,256,False,0.4375,1.0,1.0,1.0,1.0,0.0,0.4375,6,5.948914925257365,5.7328782081604,11.502997795740765,11.502997795740765,0.0,12.410374641418455,0.0
npo_paraphrase_fullft_tofu50_seed1,1,heldout_forget_declarative,q95,runs/survival/heldout_stress/npo_paraphrase_fullft_seed1_heldout_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,32,False,0.03515625,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0421875,5,6.052584807078044,5.7037034034729,6.152323404947917,6.79441556930542,0.0,12.31902313232422,0.0
npo_strong_matched_seed1_st600_fw1_b0p3,1,heldout_forget_mixed_stress,q95,runs/survival/heldout_stress/strong_npo/seed1_st600_fw1_b0p3_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,256,False,0.5625,1.0,1.0,1.0,1.0,0.0,0.5625,6,1.6722873051961262,1.15730619430542,7.226370175679524,7.226370175679524,0.0,10.575532913208008,0.0
syntactic_diversification_sweep_seed1_st360_fw4_b0p3,1,heldout_forget_mixed_stress,q95,runs/survival/heldout_stress/syntactic_diversification_matched/seed1_st360_fw4_b0p3_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,512,False,0.5625,1.0,1.0,1.0,1.0,0.0,0.5625,6,1.1275137265523274,0.6850581169128418,5.132213910420735,5.132213910420735,0.0,8.797694206237793,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed1,1,heldout_forget_mixed_stress,q95,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed1_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,128,False,0.166015625,1.0,1.0,1.0,1.0,0.0,0.166015625,6,3.259446461995443,2.928567886352539,4.923069318135579,4.923069318135579,0.0,6.808436870574951,0.0
npo_paraphrase_fullft_tofu50_seed1,1,heldout_forget_mixed_stress,q95,runs/survival/heldout_stress/npo_paraphrase_fullft_seed1_heldout_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,32,False,0.04296875,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0515625,5,3.6571293671925864,3.356954336166382,3.756867965062459,3.6519195556640622,0.0,6.384883880615234,0.0
syntactic_diversification_sweep_seed1_st360_fw4_b0p3,1,heldout_forget_paraphrase_qa,q95,runs/survival/heldout_stress/syntactic_diversification_matched/seed1_st360_fw4_b0p3_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,256,False,0.3828125,1.0,1.0,1.0,1.0,0.0,0.3828125,6,4.770663579305013,4.585298299789429,8.775363763173422,8.775363763173422,0.0,9.003925323486328,0.0
npo_strong_matched_seed1_st600_fw1_b0p3,1,heldout_forget_paraphrase_qa,q95,runs/survival/heldout_stress/strong_npo/seed1_st600_fw1_b0p3_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,256,False,0.34375,1.0,1.0,1.0,1.0,0.0,0.34375,6,1.7805497646331787,1.3389148712158203,7.334632635116577,7.334632635116577,0.0,10.041898727416992,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed1,1,heldout_forget_paraphrase_qa,q95,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed1_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,128,False,0.158203125,1.0,1.0,1.0,1.0,0.0,0.158203125,6,3.084535519282023,2.7547011375427246,4.74815837542216,4.74815837542216,0.0,6.560230255126953,0.0
npo_paraphrase_fullft_tofu50_seed1,1,heldout_forget_paraphrase_qa,q95,runs/survival/heldout_stress/npo_paraphrase_fullft_seed1_heldout_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,0.8333333333333334,32,False,0.04296875,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0515625,5,3.8495686848958335,3.5854711532592773,3.9493072827657065,3.865426635742187,0.0,6.226731300354004,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed2,2,heldout_forget_declarative,q95,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed2_heldout_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,512,False,0.7252604166666667,0.8333333333333334,0.6666666666666667,0.6666666666666667,0.8,0.1999999999999999,0.8,5,3.8103082180023193,3.740936279296875,5.424954493840535,5.513854312896728,0.0,11.690102577209473,0.0
npo_strong_matched_seed2_st600_fw2_b3,2,heldout_forget_declarative,q95,runs/survival/heldout_stress/strong_npo/seed2_st600_fw2_b3_heldout_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,128,False,0.3776041666666667,0.8333333333333334,0.6666666666666667,0.6666666666666667,0.8,0.1999999999999999,0.3874999999999999,5,2.7371832529703775,2.7601475715637207,3.6573193868001304,4.294563674926758,0.0,12.224437713623049,0.0
syntactic_diversification_sweep_seed2_st240_fw2_b0p3,2,heldout_forget_declarative,q95,runs/survival/heldout_stress/syntactic_diversification_matched/seed2_st240_fw2_b0p3_heldout_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,128,False,0.328125,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.3374999999999999,5,3.5078285535176597,3.262714385986328,5.8971818288167315,6.262060737609863,0.0,11.946523666381836,0.0
npo_paraphrase_fullft_tofu50_seed2,2,heldout_forget_declarative,q95,runs/survival/heldout_stress/npo_paraphrase_fullft_seed2_heldout_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,32,False,0.046875,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.05625,5,5.987510522206624,5.7051849365234375,6.16320816675822,6.848899173736572,0.0,11.569995880126951,0.0
syntactic_diversification_sweep_seed2_st240_fw2_b0p3,2,heldout_forget_mixed_stress,q95,runs/survival/heldout_stress/syntactic_diversification_matched/seed2_st240_fw2_b0p3_heldout_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,256,False,0.484375,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.525,5,1.4406898816426594,1.0436172485351562,3.830043156941732,3.932854652404785,0.0,9.407116889953612,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed2,2,heldout_forget_mixed_stress,q95,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed2_heldout_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,128,False,0.16796875,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.1875,5,3.0808489322662354,2.7946219444274902,4.695495208104451,4.643017959594727,0.0,6.435155391693115,0.0
npo_strong_matched_seed2_st600_fw2_b3,2,heldout_forget_mixed_stress,q95,runs/survival/heldout_stress/strong_npo/seed2_st600_fw2_b3_heldout_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,64,False,0.15625,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.1875,5,3.130291700363159,2.7849903106689453,4.050427834192912,3.7724613189697265,0.0,6.010699272155762,0.0
npo_paraphrase_fullft_tofu50_seed2,2,heldout_forget_mixed_stress,q95,runs/survival/heldout_stress/npo_paraphrase_fullft_seed2_heldout_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,32,False,0.0625,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.075,5,3.698636213938395,3.398083448410034,3.8743338584899902,3.787914276123047,0.0,6.485074520111084,0.0
syntactic_diversification_sweep_seed2_st240_fw2_b0p3,2,heldout_forget_paraphrase_qa,q95,runs/survival/heldout_stress/syntactic_diversification_matched/seed2_st240_fw2_b0p3_heldout_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,0.8333333333333334,128,False,0.25,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.3,5,4.616081078847249,4.4545981884002686,7.005434354146321,7.232197856903076,0.0,8.135187149047852,0.0
npo_strong_matched_seed2_st600_fw2_b3,2,heldout_forget_paraphrase_qa,q95,runs/survival/heldout_stress/strong_npo/seed2_st600_fw2_b3_heldout_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,0.8333333333333334,128,False,0.1796875,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.20625,5,3.5619041124979653,3.2904436588287354,4.482040246327718,4.300595760345459,0.0,5.889150142669678,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed2,2,heldout_forget_paraphrase_qa,q95,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed2_heldout_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,0.8333333333333334,128,False,0.16796875,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.1875,5,3.0400291283925376,2.600160598754883,4.654675404230754,4.456571960449219,0.0,6.689481735229492,0.0
npo_paraphrase_fullft_tofu50_seed2,2,heldout_forget_paraphrase_qa,q95,runs/survival/heldout_stress/npo_paraphrase_fullft_seed2_heldout_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,0.8333333333333334,32,False,0.0546875,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.065625,5,3.208834171295166,2.8854498863220215,3.384531815846761,3.323750686645508,0.0,6.1178460121154785,0.0
