family,r0,cond_res_32,cond_res_64,cond_res_128,cond_auc_128,retain_nll_128,margin_growth_128,immediate_matched_seed0
Strong NPO,0.0,0.0,0.0,0.2222222222222221,0.9444444444444444,4.5613618691762285,4.65944226582845,True
hlc_sg_stress_sweep_k2_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pgunrolled_penpowers_of_two,0.0,0.111111111111111,0.3888888888888888,0.7222222222222222,0.6397569444444445,6.034274260203044,3.8649412261115184,True
hlc_sg_stress_sweep_k4_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pgunrolled_penpowers_of_two,0.0,0.1666666666666666,0.111111111111111,0.7777777777777777,0.7144097222222223,5.841194947560628,3.832814693450928,True
hlc_sg_stress_sweep_k1_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pgunrolled_pen1,0.0,0.111111111111111,0.3333333333333332,0.8333333333333334,0.623263888888889,6.567423661549886,3.09164908197191,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pen1-2-4-8,0.0,0.111111111111111,0.3888888888888888,0.8333333333333334,0.6119791666666666,6.05990997950236,4.060231102837457,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg4_pen1-2-4-8,0.0,0.1666666666666666,0.3888888888888888,0.8333333333333334,0.6015625,5.9375678698221845,2.832845740848118,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1_lr0p1_pen1-2-4-8,0.0,0.0555555555555555,0.3888888888888888,0.8888888888888888,0.6019965277777778,6.549052079518636,3.550287776523166,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg0p25_pen1-2-4-8,0.0,0.111111111111111,0.4444444444444444,1.0,0.5494791666666666,5.910231590270996,4.4540061420864525,True
