method,seed,relearn_corpus,threshold_quantile,path,r0,survival0,h50,h50_censored,auc_survival,r_final,relearn_growth,survival_decay,conditional_resurrection_final,conditional_survival_final,conditional_auc_survival,conditional_num_items,mean_target_margin_final,median_target_margin_final,mean_target_margin_growth_final,conditional_mean_target_margin_growth_final,retain_accuracy_final,retain_nll_final,refusal_rate_final
npo_paraphrase_fullft_tofu50_seed1,1,forget_declarative,q95,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed1_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,32.0,False,0.03515625,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0421875,5,4.03186313311259,3.2677018642425537,4.131601730982463,3.5696024894714355,0.0,11.244633674621582,0.0
syntactic_diversification_fullft_tofu50_seed1,1,forget_declarative,q95,runs/survival/missing_baselines_stress/syntactic_diversification_fullft_seed1_forget_declarative/survival_curve.csv,1.0,0.0,0.0,False,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,5.635279099146525,5.1319825649261475,1.6736640135447185,0.0,0.0,9.958134651184082,0.0
npo_strong_matched_seed1_st600_fw1_b0p3,1,forget_mixed_stress,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed1_st600_fw1_b0p3_forget_mixed_stress/survival_curve.csv,0.0,1.0,256.0,False,0.5625,1.0,1.0,1.0,1.0,0.0,0.5625,6,2.0458478927612305,1.6433401107788086,7.599930763244629,7.599930763244629,0.0,5.509181022644043,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_mixed_stress,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_mixed_stress/survival_curve.csv,0.0,1.0,128.0,False,0.14453125,1.0,1.0,1.0,1.0,0.0,0.14453125,6,2.976017872492472,2.611347198486328,4.639640728632609,4.639640728632609,0.0,5.1361494064331055,0.0
npo_paraphrase_fullft_tofu50_seed1,1,forget_mixed_stress,q95,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed1_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,32.0,False,0.05078125,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0609375,5,2.845458189646403,2.518411159515381,2.945196787516276,2.880881118774414,0.0,4.894014835357666,0.0
syntactic_diversification_fullft_tofu50_seed1,1,forget_mixed_stress,q95,runs/survival/missing_baselines_stress/syntactic_diversification_fullft_seed1_forget_mixed_stress/survival_curve.csv,1.0,0.0,0.0,False,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,4.206888198852539,4.002161502838135,0.2452731132507324,0.0,0.0,5.049129486083984,0.0
npo_strong_matched_seed1_st600_fw1_b0p3,1,forget_paraphrase_qa,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed1_st600_fw1_b0p3_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,256.0,False,0.375,1.0,1.0,1.0,1.0,0.0,0.375,6,2.5202174186706543,1.721421241760254,8.074300289154053,8.074300289154053,0.0,6.657280921936035,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_paraphrase_qa,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,64.0,False,0.10546875,1.0,1.0,1.0,1.0,0.0,0.10546875,6,1.8385761578877768,0.8664326667785645,3.5021990140279136,3.5021990140279136,0.0,6.172768592834473,0.0
npo_paraphrase_fullft_tofu50_seed1,1,forget_paraphrase_qa,q95,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed1_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,0.8333333333333334,32.0,False,0.04296875,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0515625,5,2.09454878171285,1.7207951545715332,2.194287379582723,2.1401329040527344,0.0,5.5301103591918945,0.0
syntactic_diversification_fullft_tofu50_seed1,1,forget_paraphrase_qa,q95,runs/survival/missing_baselines_stress/syntactic_diversification_fullft_seed1_forget_paraphrase_qa/survival_curve.csv,1.0,0.0,0.0,False,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,2.210784912109375,0.9843111038208008,-1.7508301734924316,0.0,0.0,5.548525810241699,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed2,2,forget_declarative,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed2_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,128.0,False,0.16796875,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.1875,5,3.786268870035807,3.411313533782959,5.400915145874023,5.243323898315429,0.0,8.470498085021973,0.0
npo_strong_matched_seed2_st600_fw2_b3,2,forget_declarative,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed2_st600_fw2_b3_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,64.0,False,0.078125,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.09375,5,3.1411335468292236,2.884719133377075,4.0612696806589765,3.9040756225585938,0.0,7.073482990264893,0.0
npo_paraphrase_fullft_tofu50_seed2,2,forget_declarative,q95,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed2_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,32.0,False,0.046875,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.05625,5,4.9945095380147295,4.86766505241394,5.170207182566325,4.791364860534668,0.0,10.789857864379885,0.0
syntactic_diversification_fullft_tofu50_seed2,2,forget_declarative,q95,runs/survival/missing_baselines_stress/syntactic_diversification_fullft_seed2_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,16.0,False,0.03125,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0375,5,3.912597417831421,3.641192674636841,4.022780815760295,3.9422441482543946,0.0,10.672432899475098,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed2,2,forget_mixed_stress,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed2_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,128.0,False,0.171875,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.1875,5,2.621776819229126,2.2976155281066895,4.236423095067342,4.179665184020996,0.0,5.056141376495361,0.0
npo_paraphrase_fullft_tofu50_seed2,2,forget_mixed_stress,q95,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed2_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,32.0,False,0.0625,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.075,5,5.091772079467773,5.572895765304565,5.267469724019368,5.364987564086914,0.0,5.028642654418945,0.0
npo_strong_matched_seed2_st600_fw2_b3,2,forget_mixed_stress,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed2_st600_fw2_b3_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,32.0,False,0.0390625,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.046875,5,3.086249748865763,2.82844877243042,4.006385882695516,3.87481632232666,0.0,5.011564254760742,0.0
syntactic_diversification_fullft_tofu50_seed2,2,forget_mixed_stress,q95,runs/survival/missing_baselines_stress/syntactic_diversification_fullft_seed2_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,16.0,False,0.03125,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0375,5,1.9659804503122968,1.5158405303955078,2.0761638482411704,1.972499084472656,0.0,5.174824237823486,0.0
npo_strong_matched_seed2_st600_fw2_b3,2,forget_paraphrase_qa,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed2_st600_fw2_b3_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,0.8333333333333334,128.0,False,0.18359375,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.1875,5,3.5998353163401284,3.6038312911987305,4.519971450169881,4.152261734008789,0.0,5.654740810394287,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed2,2,forget_paraphrase_qa,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed2_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,0.8333333333333334,64.0,False,0.125,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.15,5,2.802576939264933,1.3902974128723145,4.417223215103149,3.7373476028442383,0.0,5.843563556671143,0.0
npo_paraphrase_fullft_tofu50_seed2,2,forget_paraphrase_qa,q95,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed2_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,0.8333333333333334,32.0,False,0.05859375,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0703125,5,2.3015805880228677,1.6402392387390137,2.477278232574463,2.160721015930176,0.0,5.517250061035156,0.0
syntactic_diversification_fullft_tofu50_seed2,2,forget_paraphrase_qa,q95,runs/survival/missing_baselines_stress/syntactic_diversification_fullft_seed2_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,0.8333333333333334,16.0,False,0.033203125,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.03984375,5,2.865842898686727,1.828941345214844,2.9760262966156006,2.4422433853149412,0.0,5.6329426765441895,0.0
