family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
HLC-SG K1 GPT-2,32,3,0.0,0.27777777777777773,0.27777777777777773,0.2777777777777777,0.27777777777777773,0.09622504486493764,0.920138888888889,0.006014065304058525,5.281246370739407,5.281246370739407,5.322980880737305,0.0
HLC-SG K1 GPT-2,128,3,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.28867513459481287,0.5286458333333334,0.1964549917973156,8.637572129567465,8.637572129567465,6.837542374928792,0.0
HLC-SG K2 GPT-2,32,3,0.0,0.27777777777777773,0.27777777777777773,0.27777777777777773,0.27777777777777773,0.1924500897298753,0.920138888888889,0.042098457128410254,5.226466125912137,5.226466125912137,5.443044980367024,0.0
HLC-SG K2 GPT-2,128,3,0.0,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.3849001794597505,0.5842013888888888,0.2428493048515852,7.058740523126391,7.058740523126391,6.59687868754069,0.0
Strong NPO,32,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4409585518440985,0.90625,0.12800214299421367,5.311834163135953,5.311834163135953,5.557908058166504,0.0
Strong NPO,128,3,0.0,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.1924500897298752,0.5876736111111112,0.23310322389855134,6.9790553251902265,6.9790553251902265,6.776169776916504,0.0
