family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
HLC-SG,32,9,0.05555555555555553,0.05555555555555553,0.0,0.0,0.0,0.0,1.0,0.0,0.0009748140970865223,0.0010821271825719112,3.6124328242407904,0.0
HLC-SG,128,9,0.05555555555555553,0.05555555555555553,0.0,0.0,0.0,0.0,1.0,0.0,0.005246515627260534,0.005699136522081123,3.6120640436808267,0.0
HLC-SG,512,9,0.05555555555555553,0.05555555555555553,0.0,0.0,0.0,0.0,1.0,0.0,0.02061718481558337,0.022500175899929423,3.6114501423305936,0.0
Strong NPO,32,9,0.22222222222222218,0.22222222222222218,0.0,0.0,0.0,0.0,1.0,0.0,-0.0001926068906431,0.0003362284766303111,3.471626705593533,0.0
Strong NPO,128,9,0.22222222222222218,0.22222222222222218,0.0,0.0,0.0,0.0,1.0,0.0,-0.0011794125592267223,0.0009654521942138556,3.471659845776028,0.0
Strong NPO,512,9,0.22222222222222218,0.22222222222222218,0.0,0.0,0.0,0.0,1.0,0.0,-0.003632139276575189,0.005751074684990755,3.4725549485948353,0.0
