role,method,seed,relearn_corpus,path,r0,survival0,retain_nll0,refusal0,conditional_num_items0,reference_r0,reference_survival0,reference_retain_nll0,reference_refusal0,reference_paths,r0_gap,r0_abs_gap,retain_nll_gap,retain_nll_within_band,r0_within_tolerance,refusal_within_limit,matched,selection_score
candidate,seed0_st600_fw1_b0p3,0,synthetic_biography,runs/survival/strong_npo_sweep_t0/seed0_st600_fw1_b0p3/survival_curve.csv,0.0,1.0,3.463763475418091,0.0,6,0.0,1.0,3.6133134365081783,0.0,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed0_synthetic_bio/survival_curve.csv,0.0,0.0,-0.14954996109008745,True,True,True,True,0.0
candidate,seed1_st600_fw1_b0p3,1,synthetic_biography,runs/survival/strong_npo_sweep_t0/seed1_st600_fw1_b0p3/survival_curve.csv,0.0,1.0,3.463844060897827,0.0,6,0.0,1.0,3.611229419708252,0.0,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed1_synthetic_bio/survival_curve.csv,0.0,0.0,-0.1473853588104248,True,True,True,True,0.0
candidate,seed2_st600_fw2_b3,2,synthetic_biography,runs/survival/strong_npo_sweep_t0/seed2_st600_fw2_b3/survival_curve.csv,0.1666666666666666,0.8333333333333334,3.4645419120788574,0.0,5,0.1666666666666666,0.8333333333333334,3.6130192279815674,0.0,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed2_synthetic_bio/survival_curve.csv,0.0,0.0,-0.14847731590270996,True,True,True,True,0.0
