role,method,seed,relearn_corpus,path,r0,survival0,retain_nll0,refusal0,conditional_num_items0,reference_r0,reference_survival0,reference_retain_nll0,reference_refusal0,reference_paths,r0_gap,r0_abs_gap,retain_nll_gap,retain_nll_within_band,r0_within_tolerance,refusal_within_limit,matched,selection_score
candidate,syntactic_diversification_sweep_seed0_st600_fw2_b0p3,0,synthetic_biography,runs/survival/syntactic_diversification_sweep_t0/seed0_st600_fw2_b0p3/survival_curve.csv,0.0,1.0,3.465282440185547,0.0,6,0.0,1.0,3.6133134365081783,0.0,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed0_synthetic_bio/survival_curve.csv,0.0,0.0,-0.1480309963226314,True,True,True,True,0.0
candidate,syntactic_diversification_sweep_seed1_st360_fw4_b0p3,1,synthetic_biography,runs/survival/syntactic_diversification_sweep_t0/seed1_st360_fw4_b0p3/survival_curve.csv,0.0,1.0,3.4709599018096924,0.0,6,0.0,1.0,3.611229419708252,0.0,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed1_synthetic_bio/survival_curve.csv,0.0,0.0,-0.14026951789855957,True,True,True,True,0.0
candidate,syntactic_diversification_sweep_seed2_st240_fw2_b0p3,2,synthetic_biography,runs/survival/syntactic_diversification_sweep_t0/seed2_st240_fw2_b0p3/survival_curve.csv,0.1666666666666666,0.8333333333333334,3.470682382583618,0.0,5,0.1666666666666666,0.8333333333333334,3.6130192279815674,0.0,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed2_synthetic_bio/survival_curve.csv,0.0,0.0,-0.14233684539794922,True,True,True,True,0.0
