family,n,r0,cond_res_32,cond_res_128,cond_res_512,cond_auc_512,retain_nll_512,margin_growth_512,immediate_matched
Strong NPO,9,0.0555555555555555,0.1111111111111111,0.4259259259259259,0.9074074074074072,0.3616898148148148,7.208942625257704,6.170133491798683,True
HLC-SG,9,0.0555555555555555,0.0925925925925925,0.9814814814814816,1.0,0.1952690972222222,7.217781490749783,4.7526102101361305,True
hlc_sg_stress_sweep_k2_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pgunrolled_penpowers_of_two,9,0.0,0.1666666666666666,0.9074074074074072,1.0,0.2131076388888889,6.915930483076307,5.223662747277154,False
