family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
HLC-SG,32,9,0.0555555555555555,0.1296296296296296,0.074074074074074,0.074074074074074,0.0925925925925925,0.1210805262094631,0.9317129629629628,0.0570214059024825,0.6047822281166358,0.6293297873602973,4.480303764343262,0.0
HLC-SG,128,9,0.0555555555555555,0.9814814814814816,0.925925925925926,0.925925925925926,0.9814814814814816,0.0555555555555555,0.6051504629629629,0.1530371050628492,3.673602810612432,3.658905566180194,6.179120434655084,0.0
HLC-SG,512,9,0.0555555555555555,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.1952690972222222,0.1323678785855406,4.851968518009892,4.7526102101361305,7.217781490749783,0.0
Strong NPO,32,9,0.0555555555555555,0.1296296296296296,0.074074074074074,0.074074074074074,0.1111111111111111,0.3333333333333333,0.9722222222222222,0.0833333333333333,1.3282233520790383,1.3909031055591723,3.851541784074571,0.0
Strong NPO,128,9,0.0555555555555555,0.4259259259259259,0.3703703703703703,0.3703703703703703,0.4259259259259259,0.4418326033496352,0.7893518518518519,0.3012640550483869,4.116873414428145,4.11420911859583,4.833220932218763,0.0
Strong NPO,512,9,0.0555555555555555,0.9074074074074072,0.8518518518518519,0.8518518518518519,0.9074074074074072,0.2777777777777778,0.3616898148148148,0.252202632850998,6.243074973424275,6.170133491798683,7.208942625257704,0.0
hlc_sg_stress_sweep_k2_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pgunrolled_penpowers_of_two,32,9,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.9097222222222222,0.0457029395176672,0.7137230413931388,0.7137230413931388,4.433769067128499,0.0
hlc_sg_stress_sweep_k2_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pgunrolled_penpowers_of_two,128,9,0.0,0.9074074074074072,0.9074074074074072,0.9074074074074072,0.9074074074074072,0.2777777777777778,0.6672453703703705,0.0991532634815772,3.158606688181559,3.158606688181559,5.863650057050917,0.0
hlc_sg_stress_sweep_k2_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pgunrolled_penpowers_of_two,512,9,0.0,1.0,1.0,1.0,1.0,0.0,0.2131076388888889,0.16268911198502,5.223662747277154,5.223662747277154,6.915930483076307,0.0
