family,r0,cond_res_32,cond_res_64,cond_res_128,cond_auc_128,retain_nll_128,immediate_matched_seed0
Strong NPO,0.0,0.0,0.0,0.22222222222222218,0.9444444444444445,4.5613618691762285,True
HLC-SG,0.0,0.11111111111111106,0.5,1.0,0.5221354166666666,6.0338544845581055,True
HLC-SG stress-trained,0.0,0.22222222222222218,0.4444444444444444,1.0,0.52734375,5.724367618560791,True
hlc_sg_stress_sweep_lk3_lr3,0.1666666666666666,0.0,0.6,1.0,0.525,4.679385503133138,False
hlc_sg_stress_sweep_lk10_lr1,0.1666666666666666,0.0,0.20000000000000004,1.0,0.6749999999999999,5.412288824717204,False
hlc_sg_stress_sweep_lk3_lr1,0.1666666666666666,0.0,0.26666666666666666,1.0,0.65,5.443413734436035,False
hlc_sg_stress_sweep_lk10_lr3,0.1666666666666666,0.0,0.4666666666666666,1.0,0.575,6.38485066095988,False
