family,relearn_corpus,horizon,cond_res,cond_auc,margin_growth,retain_nll
HLC-SG,forget_declarative,8,0.1666666666666666,0.8958333333333334,0.1776418685913086,3.650707244873047
HLC-SG,forget_declarative,16,0.1666666666666666,0.8645833333333334,0.3344925244649251,3.7161810398101807
HLC-SG,forget_declarative,32,0.0,0.890625,0.120616594950358,6.8253703117370605
HLC-SG,forget_declarative,128,1.0,0.6601562500000001,2.573772430419922,9.39411163330078
HLC-SG,forget_declarative,512,1.0,0.2275390625,6.172287146250407,11.356630325317385
HLC-SG,forget_mixed_stress,8,0.0,1.0,0.1434755325317382,3.6678597927093506
HLC-SG,forget_mixed_stress,16,0.1666666666666666,0.9583333333333334,0.3057141304016113,3.728513240814209
HLC-SG,forget_mixed_stress,32,0.1666666666666666,0.8958333333333334,0.7147447268168131,3.8523881435394287
HLC-SG,forget_mixed_stress,128,1.0,0.578125,3.0292676289876304,4.322179794311523
HLC-SG,forget_mixed_stress,512,1.0,0.14453125,6.759727398554484,5.209158897399902
HLC-SG,forget_paraphrase_qa,8,0.0,1.0,0.1307450930277506,3.661893129348755
HLC-SG,forget_paraphrase_qa,16,0.1666666666666666,0.9583333333333334,0.3139761288960774,3.723228931427002
HLC-SG,forget_paraphrase_qa,32,0.1666666666666666,0.8958333333333334,0.7775810559590658,3.866569757461548
HLC-SG,forget_paraphrase_qa,128,1.0,0.328125,6.7474610805511475,4.385272026062012
HLC-SG,forget_paraphrase_qa,512,1.0,0.08203125,3.653118292490641,6.490663528442383
HLC-SG stress-trained,forget_declarative,8,0.1666666666666666,0.8958333333333334,0.1926891009012858,3.654818058013916
HLC-SG stress-trained,forget_declarative,16,0.0,0.90625,0.1879069010416666,4.6099371910095215
HLC-SG stress-trained,forget_declarative,32,0.1666666666666666,0.9114583333333334,0.6417506535847982,4.74260139465332
HLC-SG stress-trained,forget_declarative,128,1.0,0.7070312500000001,2.723491589228312,8.471686363220215
HLC-SG stress-trained,forget_declarative,512,1.0,0.2392578125,3.3256041208902993,9.10914134979248
HLC-SG stress-trained,forget_mixed_stress,8,0.0,1.0,0.1306180953979492,3.669711828231811
HLC-SG stress-trained,forget_mixed_stress,16,0.1666666666666666,0.9583333333333334,0.2837986946105957,3.7314205169677734
HLC-SG stress-trained,forget_mixed_stress,32,0.1666666666666666,0.8958333333333334,0.6956202189127604,3.8683972358703618
HLC-SG stress-trained,forget_mixed_stress,128,1.0,0.578125,3.0411149660746255,4.322466850280762
HLC-SG stress-trained,forget_mixed_stress,512,1.0,0.14453125,4.040224075317383,5.034447193145752
HLC-SG stress-trained,forget_paraphrase_qa,8,0.0,1.0,0.1329523722330729,3.6590871810913086
HLC-SG stress-trained,forget_paraphrase_qa,16,0.1666666666666666,0.9583333333333334,0.3056381543477376,3.7221035957336426
HLC-SG stress-trained,forget_paraphrase_qa,32,0.3333333333333333,0.8541666666666667,1.650468826293945,3.8772432804107666
HLC-SG stress-trained,forget_paraphrase_qa,128,1.0,0.296875,4.380972941716512,4.3789496421813965
HLC-SG stress-trained,forget_paraphrase_qa,512,1.0,0.07421875,3.658111651738485,6.486785411834717
Strong NPO,forget_declarative,8,0.0,1.0,0.3666785558064778,3.479879140853882
Strong NPO,forget_declarative,16,0.0,1.0,0.7057609558105469,3.5326852798461914
Strong NPO,forget_declarative,32,0.0,1.0,1.4142125447591145,3.7204744815826416
Strong NPO,forget_declarative,128,0.1666666666666666,0.9583333333333334,4.772876262664795,5.63267707824707
Strong NPO,forget_declarative,512,1.0,0.46875,8.061202446619669,10.954157829284668
Strong NPO,forget_mixed_stress,8,0.0,1.0,0.2848714192708333,3.4941747188568115
Strong NPO,forget_mixed_stress,16,0.0,1.0,0.5828355153401693,3.5407392978668213
Strong NPO,forget_mixed_stress,32,0.0,1.0,1.2181355158487956,3.628394603729248
Strong NPO,forget_mixed_stress,128,0.3333333333333333,0.9166666666666669,4.19086233774821,3.978944540023804
Strong NPO,forget_mixed_stress,512,1.0,0.3125,7.130182504653931,5.419509410858154
Strong NPO,forget_paraphrase_qa,8,0.0,1.0,0.3074913024902344,3.4982714653015137
Strong NPO,forget_paraphrase_qa,16,0.0,1.0,0.571195920308431,3.5333423614501953
Strong NPO,forget_paraphrase_qa,32,0.0,1.0,1.177320162455241,3.615442991256714
Strong NPO,forget_paraphrase_qa,128,0.1666666666666666,0.9583333333333334,5.014588197072347,4.0724639892578125
Strong NPO,forget_paraphrase_qa,512,1.0,0.34375,7.40489387512207,6.817443370819092
