Method,n,Immediate r0,Cond. resurrection @32,Cond. resurrection @128,Cond. resurrection @512,Cond. AUC @512,Retain NLL @512,Immediate matched
Strong NPO,9,0.0555555555555555,0.1111111111111111,0.4259259259259259,0.9074074074074072,0.3616898148148148,7.208942625257704,True
HLC-SG,9,0.0555555555555555,0.0925925925925925,0.9814814814814816,1.0,0.1952690972222222,7.217781490749783,True
hlc_sg_stress_sweep_k2_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pgunrolled_penpowers_of_two,9,0.0,0.1666666666666666,0.9074074074074072,1.0,0.2131076388888889,6.915930483076307,False
