family,horizon,n,r0,cond_res,cond_auc,margin_growth,retain_nll
HLC-SG,8,3,0.0,0.05555555555555553,0.9652777777777778,0.15062083138359914,3.660153388977051
HLC-SG,16,3,0.0,0.1666666666666666,0.9270833333333334,0.31806092792087126,3.7226410706837973
HLC-SG,32,3,0.0,0.11111111111111106,0.8940972222222223,0.5376474592420789,4.848109404246013
HLC-SG,64,3,0.0,0.5,0.7942708333333334,3.127785020404392,4.677163918813069
HLC-SG,128,3,0.0,1.0,0.5221354166666666,4.116833713319567,6.0338544845581055
HLC-SG stress-trained,8,3,0.0,0.05555555555555553,0.9652777777777778,0.15208652284410262,3.6612056891123452
HLC-SG stress-trained,16,3,0.0,0.11111111111111106,0.9409722222222223,0.2591145833333333,4.0211537679036455
HLC-SG stress-trained,32,3,0.0,0.22222222222222218,0.8871527777777778,0.9959465662638346,4.162747303644816
HLC-SG stress-trained,64,3,0.0,0.4444444444444444,0.7769097222222223,2.010743962393867,5.413494269053142
HLC-SG stress-trained,128,3,0.0,1.0,0.52734375,3.3818598323398166,5.724367618560791
Strong NPO,8,3,0.0,0.0,1.0,0.3196804258558485,3.4907751083374023
Strong NPO,16,3,0.0,0.0,1.0,0.6199307971530491,3.5355889797210693
Strong NPO,32,3,0.0,0.0,1.0,1.2698894076877172,3.6547706921895347
Strong NPO,64,3,0.0,0.0,1.0,2.6387290954589844,3.833146254221598
Strong NPO,128,3,0.0,0.22222222222222218,0.9444444444444445,4.65944226582845,4.5613618691762285
hlc_sg_stress_sweep_k16_ilr0p005_olr0p001_lk10_lr1,8,3,0.1666666666666666,0.0,1.0,0.12976943122016057,3.7035743395487466
hlc_sg_stress_sweep_k16_ilr0p005_olr0p001_lk10_lr1,16,3,0.1666666666666666,0.0,1.0,0.2852121988932292,4.0246327718098955
hlc_sg_stress_sweep_k16_ilr0p005_olr0p001_lk10_lr1,32,3,0.1666666666666666,0.5333333333333333,0.8666666666666667,0.6513299942016602,4.402042229970296
hlc_sg_stress_sweep_k16_ilr0p005_olr0p001_lk10_lr1,64,3,0.1666666666666666,0.9333333333333332,0.5666666666666667,1.8600842157999675,4.5217610994974775
hlc_sg_stress_sweep_k16_ilr0p005_olr0p001_lk10_lr1,128,3,0.1666666666666666,1.0,0.3,3.115351306067572,5.607493718465169
hlc_sg_stress_sweep_k16_ilr0p005_olr0p001_lk3_lr1,8,3,0.1666666666666666,0.0,1.0,0.13575485017564556,3.9617557525634766
hlc_sg_stress_sweep_k16_ilr0p005_olr0p001_lk3_lr1,16,3,0.1666666666666666,0.0,1.0,0.2934260368347168,4.016092697779338
hlc_sg_stress_sweep_k16_ilr0p005_olr0p001_lk3_lr1,32,3,0.1666666666666666,0.4000000000000001,0.9,0.6252102851867676,4.177052021026611
hlc_sg_stress_sweep_k16_ilr0p005_olr0p001_lk3_lr1,64,3,0.1666666666666666,0.9333333333333332,0.6166666666666667,1.3979347281985814,4.8119270006815595
hlc_sg_stress_sweep_k16_ilr0p005_olr0p001_lk3_lr1,128,3,0.1666666666666666,1.0,0.325,2.163740555445353,5.3300855954488116
hlc_sg_stress_sweep_k8_ilr0p005_olr0p001_lk10_lr1,8,3,0.1666666666666666,0.0,1.0,0.13016149732801643,3.9568958282470703
hlc_sg_stress_sweep_k8_ilr0p005_olr0p001_lk10_lr1,16,3,0.1666666666666666,0.0,1.0,0.2791583802964952,4.019060214360555
hlc_sg_stress_sweep_k8_ilr0p005_olr0p001_lk10_lr1,32,3,0.1666666666666666,0.5333333333333333,0.8666666666666667,0.6399582756890191,4.172787348429362
hlc_sg_stress_sweep_k8_ilr0p005_olr0p001_lk10_lr1,64,3,0.1666666666666666,1.0,0.5499999999999999,1.464613464143541,4.531200249989827
hlc_sg_stress_sweep_k8_ilr0p005_olr0p001_lk10_lr1,128,3,0.1666666666666666,1.0,0.27499999999999997,2.588349527782864,5.412519613901774
hlc_sg_stress_sweep_k8_ilr0p005_olr0p001_lk3_lr1,8,3,0.1666666666666666,0.0,1.0,0.12783458497789166,3.9563026428222656
hlc_sg_stress_sweep_k8_ilr0p005_olr0p001_lk3_lr1,16,3,0.1666666666666666,0.0,1.0,0.2842328813340929,4.01460599899292
hlc_sg_stress_sweep_k8_ilr0p005_olr0p001_lk3_lr1,32,3,0.1666666666666666,0.4000000000000001,0.9,0.6126102871365018,4.186601400375366
hlc_sg_stress_sweep_k8_ilr0p005_olr0p001_lk3_lr1,64,3,0.1666666666666666,1.0,0.6,1.4747895664638941,5.064395745595296
hlc_sg_stress_sweep_k8_ilr0p005_olr0p001_lk3_lr1,128,3,0.1666666666666666,1.0,0.3,2.1137941943274607,5.522829055786133
