method,seed,relearn_corpus,threshold_quantile,path,r0,survival0,h50,h50_censored,auc_survival,r_final,relearn_growth,survival_decay,conditional_resurrection_final,conditional_survival_final,conditional_auc_survival,conditional_num_items,mean_target_margin_final,median_target_margin_final,mean_target_margin_growth_final,conditional_mean_target_margin_growth_final,retain_accuracy_final,retain_nll_final,refusal_rate_final
hlc_sg_k1_gpt2_lora_tofu50_seed0,0,heldout_forget_declarative,q95,runs/survival/gpt2_lora_smoke/hlc_sg_k1_gpt2_lora_seed0_heldout_forget_declarative/survival_curve.csv,0.0,1.0,,True,0.9166666666666669,0.3333333333333333,0.3333333333333333,0.3333333333333332,0.3333333333333333,0.6666666666666667,0.9166666666666669,6,-1.1822210550308228,-1.6704776287078855,5.080164631207784,5.080164631207784,0.0,6.638315200805664,0.0
npo_strong_gpt2_lora_tofu50_seed0,0,heldout_forget_declarative,q95,runs/survival/gpt2_lora_smoke/npo_strong_gpt2_lora_seed0_heldout_forget_declarative/survival_curve.csv,0.0,1.0,32.0,False,0.8125,0.5,0.5,0.5,0.5,0.5,0.8125,6,-0.8987987438837687,-0.9852280616760254,5.327831228574117,5.327831228574117,0.0,6.299545764923096,0.0
npo_strong_gpt2_lora_tofu50_seed0,0,heldout_forget_mixed_stress,q95,runs/survival/gpt2_lora_smoke/npo_strong_gpt2_lora_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,,True,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6,-1.8980637788772583,-1.7068769931793213,4.328566193580627,4.328566193580627,0.0,4.727619647979736,0.0
hlc_sg_k1_gpt2_lora_tofu50_seed0,0,heldout_forget_mixed_stress,q95,runs/survival/gpt2_lora_smoke/hlc_sg_k1_gpt2_lora_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,,True,0.96875,0.0,0.0,0.0,0.0,1.0,0.96875,6,-1.9863667885462444,-1.700117826461792,4.276018897692363,4.276018897692363,0.0,4.560162544250488,0.0
npo_strong_gpt2_lora_tofu50_seed0,0,heldout_forget_paraphrase_qa,q95,runs/survival/gpt2_lora_smoke/npo_strong_gpt2_lora_seed0_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,,True,0.9166666666666669,0.3333333333333333,0.3333333333333333,0.3333333333333332,0.3333333333333333,0.6666666666666667,0.9166666666666669,6,-1.0701735019683838,-0.856006383895874,5.156456470489502,5.156456470489502,0.0,5.470484733581543,0.0
hlc_sg_k1_gpt2_lora_tofu50_seed0,0,heldout_forget_paraphrase_qa,q95,runs/survival/gpt2_lora_smoke/hlc_sg_k1_gpt2_lora_seed0_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,32.0,False,0.8020833333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8020833333333334,6,-0.2388379573822021,0.4059479236602783,6.023547728856404,6.023547728856404,0.0,5.527355670928955,0.0
