family,r0,cond_res_32,cond_res_64,cond_res_128,cond_auc_128,retain_nll_128,margin_growth_128,immediate_matched_seed0
Strong NPO,0.0,0.0,0.0,0.2222222222222221,0.9444444444444444,4.5613618691762285,4.65944226582845,True
hlc_sg_stress_sweep_k1_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pgunrolled_pen1,0.0,0.111111111111111,0.3333333333333332,0.8333333333333334,0.623263888888889,6.567423661549886,3.09164908197191,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pen1-2-4-8,0.0,0.111111111111111,0.3888888888888888,0.8333333333333334,0.6119791666666666,6.05990997950236,4.060231102837457,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg4_pen1-2-4-8,0.0,0.1666666666666666,0.3888888888888888,0.8333333333333334,0.6015625,5.9375678698221845,2.832845740848118,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1_lr0p1_pen1-2-4-8,0.0,0.0555555555555555,0.3888888888888888,0.8888888888888888,0.6019965277777778,6.549052079518636,3.550287776523166,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p25_lr0p1_pen1-2-4-8,0.0,0.111111111111111,0.2222222222222221,0.9444444444444444,0.6480034722222222,5.890549818674724,3.4061233732435436,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p5_lr0p1_pen1-2-4-8,0.0,0.1666666666666666,0.5,0.9444444444444444,0.5230034722222222,5.751168409983317,4.471196466022068,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg0p25_pen1-2-4-8,0.0,0.111111111111111,0.4444444444444444,1.0,0.5494791666666666,5.910231590270996,4.4540061420864525,True
HLC-SG stress-trained,0.0,0.2222222222222221,0.4444444444444444,1.0,0.52734375,5.724367618560791,3.381859832339817,True
HLC-SG,0.0,0.111111111111111,0.5,1.0,0.5221354166666666,6.0338544845581055,4.116833713319567,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk3_lr0p1_pen1-2-4-8,0.1666666666666666,0.0,0.2,0.9333333333333332,0.6916666666666668,5.991164525349935,2.6357016881306965,False
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p75_lr0p1_pen1-2-4-8,0.1666666666666666,0.0,0.2666666666666666,0.9333333333333332,0.6666666666666666,6.039432525634766,2.7939294815063476,False
hlc_sg_stress_sweep_k1_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg0_pgunrolled_pen1,0.1666666666666666,0.0,0.1333333333333333,1.0,0.7000000000000001,5.503696918487549,2.950001017252605,False
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk2_lr0p1_pen1-2-4-8,0.1666666666666666,0.0,0.3999999999999999,1.0,0.6,6.460475603739421,4.162439664204915,False
