family,n,auc_mean,auc_std,r_final_mean,r_final_std,mean_target_margin_mean,mean_target_margin_std,median_target_margin_mean,median_target_margin_std,retain_nll_mean,retain_nll_std
HLC-SG,9,0.9444444444444444,0.08333333333333329,0.05555555555555553,0.0833333333333333,-1.6568599277072482,0.035206271582956694,-1.8368737432691786,0.03828387219491851,3.6124453809526234,0.0011225251929732692
NPO,1,0.1666666666666666,,0.8333333333333334,,0.9684712092081704,,0.5191354751586914,,3.673882484436035,
NPO + paraphrases,9,0.8333333333333334,0.0,0.1666666666666666,0.0,-0.13540644115871847,0.03311805928484227,-0.4117193751864963,0.03959080163855473,3.471621698803372,3.591757848091974e-05
Strong NPO,9,0.7777777777777778,0.08333333333333336,0.22222222222222218,0.08333333333333334,-0.16553993578310366,0.14575175188334658,-0.48050981097751194,0.11006855158772973,3.4716274208492703,3.6713708771719456e-05
Syntactic diversification,9,0.5555555555555556,0.4166666666666667,0.4444444444444444,0.4166666666666667,1.275587894298412,2.0142623282283365,1.1177070405748155,2.2394334375829335,3.471639527214898,7.456311035488606e-05
