family,horizon,n,r0,cond_res,cond_auc,margin_growth,retain_nll
HLC-SG,8,3,0.0,0.05555555555555553,0.9652777777777778,0.15062083138359914,3.660153388977051
HLC-SG,16,3,0.0,0.1666666666666666,0.9270833333333334,0.31806092792087126,3.7226410706837973
HLC-SG,32,3,0.0,0.11111111111111106,0.8940972222222223,0.5376474592420789,4.848109404246013
HLC-SG,64,3,0.0,0.5,0.7942708333333334,3.127785020404392,4.677163918813069
HLC-SG,128,3,0.0,1.0,0.5221354166666666,4.116833713319567,6.0338544845581055
HLC-SG stress-trained,8,3,0.0,0.05555555555555553,0.9652777777777778,0.15208652284410262,3.6612056891123452
HLC-SG stress-trained,16,3,0.0,0.11111111111111106,0.9409722222222223,0.2591145833333333,4.0211537679036455
HLC-SG stress-trained,32,3,0.0,0.22222222222222218,0.8871527777777778,0.9959465662638346,4.162747303644816
HLC-SG stress-trained,64,3,0.0,0.4444444444444444,0.7769097222222223,2.010743962393867,5.413494269053142
HLC-SG stress-trained,128,3,0.0,1.0,0.52734375,3.3818598323398166,5.724367618560791
Strong NPO,8,3,0.0,0.0,1.0,0.3196804258558485,3.4907751083374023
Strong NPO,16,3,0.0,0.0,1.0,0.6199307971530491,3.5355889797210693
Strong NPO,32,3,0.0,0.0,1.0,1.2698894076877172,3.6547706921895347
Strong NPO,64,3,0.0,0.0,1.0,2.6387290954589844,3.833146254221598
Strong NPO,128,3,0.0,0.22222222222222218,0.9444444444444445,4.65944226582845,4.5613618691762285
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1_lr0p1_pen1-2-4-8,8,3,0.0,0.05555555555555553,0.9652777777777778,0.14631764094034827,3.665998935699463
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1_lr0p1_pen1-2-4-8,16,3,0.0,0.1666666666666666,0.9270833333333334,0.3241069051954481,4.031476815541585
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1_lr0p1_pen1-2-4-8,32,3,0.0,0.05555555555555553,0.9079861111111112,0.45959398481580943,4.459043184916179
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1_lr0p1_pen1-2-4-8,64,3,0.0,0.38888888888888884,0.8428819444444445,1.932944377263387,5.675965150197347
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1_lr0p1_pen1-2-4-8,128,3,0.0,0.8888888888888888,0.6019965277777778,3.550287776523166,6.549052079518636
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p25_lr0p1_pen1-2-4-8,8,3,0.0,0.0,0.9791666666666666,0.11623620986938472,3.680260419845581
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p25_lr0p1_pen1-2-4-8,16,3,0.0,0.11111111111111106,0.9618055555555557,0.15100341373019746,3.73053510983785
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p25_lr0p1_pen1-2-4-8,32,3,0.0,0.11111111111111106,0.9253472222222223,0.4835842980278862,4.371476252873738
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p25_lr0p1_pen1-2-4-8,64,3,0.0,0.22222222222222218,0.8793402777777778,1.5705085330539277,5.215871016184489
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p25_lr0p1_pen1-2-4-8,128,3,0.0,0.9444444444444445,0.6480034722222222,3.4061233732435436,5.890549818674724
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p5_lr0p1_pen1-2-4-8,8,3,0.0,0.11111111111111106,0.951388888888889,0.14940558539496523,3.666698694229126
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p5_lr0p1_pen1-2-4-8,16,3,0.0,0.1666666666666666,0.90625,0.3224185307820638,4.016856908798218
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p5_lr0p1_pen1-2-4-8,32,3,0.0,0.1666666666666666,0.8697916666666666,0.7100955645243326,3.910511573155721
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p5_lr0p1_pen1-2-4-8,64,3,0.0,0.5,0.7682291666666666,3.18367960717943,5.334763844807942
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p5_lr0p1_pen1-2-4-8,128,3,0.0,0.9444444444444445,0.5230034722222222,4.471196466022068,5.751168409983317
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p75_lr0p1_pen1-2-4-8,8,3,0.1666666666666666,0.0,1.0,0.09431107838948564,3.972649415334066
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p75_lr0p1_pen1-2-4-8,16,3,0.1666666666666666,0.0,1.0,0.15131261613633895,4.321103970209758
