family,method,seed,relearn_corpus,horizon,path,r0,r_t,survival0,survival_t,relearn_growth,survival_decay,conditional_resurrection,conditional_survival,conditional_auc,conditional_num_items,mean_target_margin_growth,conditional_mean_target_margin_growth,retain_nll,refusal_rate
HLC-SG K2 GPT-2,hlc_sg_k2_gpt2_lora_tofu50_seed0,0,heldout_forget_declarative,32,runs/survival/gpt2_hlc_k2_smoke/hlc_sg_k2_gpt2_lora_seed0_heldout_forget_declarative/survival_curve.csv,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.875,6,6.019934058189392,6.019934058189392,7.13487434387207,0.0
HLC-SG K2 GPT-2,hlc_sg_k2_gpt2_lora_tofu50_seed0,0,heldout_forget_mixed_stress,32,runs/survival/gpt2_hlc_k2_smoke/hlc_sg_k2_gpt2_lora_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,4.151208917299907,4.151208917299907,4.309780120849609,0.0
HLC-SG K2 GPT-2,hlc_sg_k2_gpt2_lora_tofu50_seed0,0,heldout_forget_paraphrase_qa,32,runs/survival/gpt2_hlc_k2_smoke/hlc_sg_k2_gpt2_lora_seed0_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8333333333333334,6,6.009258230527242,6.009258230527242,5.496946334838867,0.0
HLC-SG K1 GPT-2,hlc_sg_k1_gpt2_lora_tofu50_seed0,0,heldout_forget_declarative,32,runs/survival/gpt2_lora_smoke/hlc_sg_k1_gpt2_lora_seed0_heldout_forget_declarative/survival_curve.csv,0.0,0.3333333333333333,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333332,0.3333333333333333,0.6666666666666667,0.9166666666666669,6,5.080164631207784,5.080164631207784,6.638315200805664,0.0
HLC-SG K1 GPT-2,hlc_sg_k1_gpt2_lora_tofu50_seed0,0,heldout_forget_mixed_stress,32,runs/survival/gpt2_lora_smoke/hlc_sg_k1_gpt2_lora_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.96875,6,4.276018897692363,4.276018897692363,4.560162544250488,0.0
HLC-SG K1 GPT-2,hlc_sg_k1_gpt2_lora_tofu50_seed0,0,heldout_forget_paraphrase_qa,32,runs/survival/gpt2_lora_smoke/hlc_sg_k1_gpt2_lora_seed0_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8020833333333334,6,6.023547728856404,6.023547728856404,5.527355670928955,0.0
Strong NPO,npo_strong_gpt2_lora_tofu50_seed0,0,heldout_forget_declarative,32,runs/survival/gpt2_lora_smoke/npo_strong_gpt2_lora_seed0_heldout_forget_declarative/survival_curve.csv,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.8125,6,5.327831228574117,5.327831228574117,6.299545764923096,0.0
Strong NPO,npo_strong_gpt2_lora_tofu50_seed0,0,heldout_forget_mixed_stress,32,runs/survival/gpt2_lora_smoke/npo_strong_gpt2_lora_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,4.328566193580627,4.328566193580627,4.727619647979736,0.0
Strong NPO,npo_strong_gpt2_lora_tofu50_seed0,0,heldout_forget_paraphrase_qa,32,runs/survival/gpt2_lora_smoke/npo_strong_gpt2_lora_seed0_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,0.3333333333333333,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333332,0.3333333333333333,0.6666666666666667,0.9166666666666669,6,5.156456470489502,5.156456470489502,5.470484733581543,0.0
