family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
HLC-SG K1 GPT-2,32,3,0.0,0.3333333333333333,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.3333333333333333,0.8958333333333334,0.0852640913736714,5.12657708591885,5.12657708591885,5.575277805328369,0.0
HLC-SG K2 GPT-2,32,3,0.0,0.38888888888888884,0.38888888888888884,0.38888888888888884,0.38888888888888884,0.3469443332443555,0.9027777777777778,0.08673608331108885,5.39346706867218,5.39346706867218,5.647200266520183,0.0
Strong NPO,32,3,0.0,0.27777777777777773,0.27777777777777773,0.27777777777777773,0.27777777777777773,0.2545875386086578,0.9097222222222223,0.0939427031838103,4.937617964214748,4.937617964214748,5.499216715494792,0.0
